intent,transcription
NAVIGATE CHECK,"Tunjuk jalan ke Airport Kota Bharu."
NAVIGATE CHECK,"Macam mana trafik di Jalan Bayam?"
NAVIGATE CHECK,"Jalan ke Wakaf Bharu sesak dok?"
NAVIGATE CHECK,"Nak gi KB Mall, jalan mana hok senyap?"
NAVIGATE CHECK,"Boleh berhenti di Petronas depan tu?"
NAVIGATE CHECK,"Tunjukkan jalan ke [Lokasi Tujuan]."
NAVIGATE CHECK,"Bagaimana kondisi lalu lintas menuju [Lokasi Tujuan]?"
NAVIGATE CHECK,"Apakah ada jalan alternatif ke [Lokasi Tujuan]?"
NAVIGATE CHECK,"Rute tercepat ke [Lokasi Tujuan] saat ini?"
NAVIGATE CHECK,"Berikan petunjuk arah ke [Lokasi Tujuan]."
NAVIGATE CHECK,"Can you show me how to get to KLCC?"
NAVIGATE CHECK,"I need to go to Sunway Pyramid."
NAVIGATE CHECK,"What's the fastest way to Bangsar?"
NAVIGATE CHECK,"Navigate to Petaling Jaya."
NAVIGATE CHECK,"Guide me to Pavilion Mall."
NAVIGATE CHECK,"Take me to Bukit Bintang."
NAVIGATE CHECK,"Which road should I use to reach Mid Valley?"
NAVIGATE CHECK,"Show directions to Serdang."
NAVIGATE CHECK,"How do I get to Shah Alam?"
NAVIGATE CHECK,"Lead me to the airport."
NAVIGATE CHECK,"How do I get to the nearest gas station?"
NAVIGATE CHECK,"What's the best route to downtown?"
NAVIGATE CHECK,"Direct me to the hotel."
NAVIGATE CHECK,"How do I get to the train station?"
NAVIGATE CHECK,"Can you guide me to the airport?"
NAVIGATE CHECK,"Find the route to the beach."
NAVIGATE CHECK,"Show me the way to the park."
NAVIGATE CHECK,"Navigate to the city center."
NAVIGATE CHECK,"Tolong tunjukkan jalan ke Lapangan Terbang Kota Bharu."
NAVIGATE CHECK,"Macam mana keadaan lalu lintas di Jalan Bayam?"
NAVIGATE CHECK,"Adakah jalan alternatif ke Wakaf Bharu?"
NAVIGATE CHECK,"Jalan mana yang paling cepat ke KB Mall?"
NAVIGATE CHECK,"Boleh tak berhenti di Petronas di depan sana?"
NAVIGATE CHECK,"Tunjukkan arah jalan ke [Lokasi Tujuan]."
NAVIGATE CHECK,"Bagaimana kondisi trafik ke [Lokasi Tujuan]?"
NAVIGATE CHECK,"Adakah jalan lain selain ke [Lokasi Tujuan]?"
NAVIGATE CHECK,"Apakah rute tercepat ke [Lokasi Tujuan] sekarang?"
NAVIGATE CHECK,"Beri saya petunjuk jalan ke [Lokasi Tujuan]."
NAVIGATE CHECK,"请问要怎么去吉隆坡城中城？"
NAVIGATE CHECK,"我要去双威金字塔。"
NAVIGATE CHECK,"去孟沙最快的路怎么走？"
NAVIGATE CHECK,"导航到八打灵再也。"
NAVIGATE CHECK,"带我去柏威年广场。"
NAVIGATE CHECK,"送我去武吉免登。"
NAVIGATE CHECK,"请问要走哪条路才能到谷中城？"
NAVIGATE CHECK,"请指引我去沙登。"
NAVIGATE CHECK,"我要怎样才能到莎阿南？"
NAVIGATE CHECK,"请带我到机场。"
NAVIGATE CHECK," 离我最近的加油站在哪里？"
NAVIGATE CHECK," 去市中心最好的路线是什么？"
NAVIGATE CHECK," 请指引我去酒店。"
NAVIGATE CHECK," 我该怎么去火车站？"
NAVIGATE CHECK," 你能指引我去机场吗？"
NAVIGATE CHECK," 帮我找去海滩的路。"
NAVIGATE CHECK," 请带我去公园。"
NAVIGATE CHECK," 导航到市中心。"
CHECK EARNING,"Berapa aku dapat hari ni?"
CHECK EARNING,"Tunjukkan pendapatan minggu ni."
CHECK EARNING,"Berapa total penghasilan saya hari ini?"
CHECK EARNING,"Tampilkan pendapatan saya minggu ini."
CHECK EARNING,"Rekap pendapatan saya bulan ini."
CHECK EARNING,"Berapa banyak yang telah saya hasilkan?"
CHECK EARNING,"Tunjukkan riwayat penghasilan saya."
CHECK EARNING,"Berapa pendapatan rata-rata saya per hari?"
CHECK EARNING,"Bagaimana performa penghasilan saya minggu ini?"
CHECK EARNING,"Berapa bonus yang saya dapatkan?"
CHECK EARNING,"How much have I earned?"
CHECK EARNING,"Show me my daily earnings."
CHECK EARNING,"Show me my pay."
CHECK EARNING,"What are my earnings for today?"
CHECK EARNING,"What's my total income?"
CHECK EARNING,"What's my income for the week?"
CHECK EARNING,"How much did I make today?"
CHECK EARNING,"Display my earnings."
CHECK EARNING,"What is my revenue?"
CHECK EARNING,"Check my earnings report."
CHECK EARNING,"How much money did I make today?"
CHECK EARNING,"Show me my daily income."
CHECK EARNING,"Check today’s earnings."
CHECK EARNING,"How many trips did I complete?"
CHECK EARNING,"I want to know my earnings."
CHECK EARNING,"Give me an income summary."
CHECK EARNING,"Any tips included today?"
CHECK EARNING,"What’s my total fare today?"
CHECK EARNING,"How much have I earned this week?"
CHECK EARNING,"Tell me how much I earned."
CHECK EARNING,"Berapa pendapatan saya hari ini?"
CHECK EARNING,"Tolong tunjukkan pendapatan saya minggu ini."
CHECK EARNING,"Berapa jumlah pendapatan saya hari ini?"
CHECK EARNING,"Paparkan pendapatan saya minggu ini."
CHECK EARNING,"Ringkaskan pendapatan saya bulan ini."
CHECK EARNING,"Berapa banyak yang sudah saya peroleh?"
CHECK EARNING,"Tolong tampilkan riwayat pendapatan saya."
CHECK EARNING,"Berapa pendapatan rata-rata saya per hari?"
CHECK EARNING,"Bagaimana kinerja pendapatan saya minggu ini?"
CHECK EARNING,"Berapa bonus yang saya dapatkan?"
CHECK EARNING,"我今天赚了多少钱？"
CHECK EARNING,"显示我今天的收入。"
CHECK EARNING,"查一下我今天的收益。"
CHECK EARNING,"我今天跑了多少趟？"
CHECK EARNING,"我想知道我的收入。"
CHECK EARNING,"给我一个收入总结。"
CHECK EARNING,"今天的收入包括小费吗？"
CHECK EARNING,"我今天的总车费是多少？"
CHECK EARNING,"我这周赚了多少钱？"
CHECK EARNING,"告诉我我赚了多少钱。"
ACCEPT BOOKING,"Terima tempahan tu."
ACCEPT BOOKING,"Ambik je job tu, dekat jah."
ACCEPT BOOKING,"Terima pesanan ini."
ACCEPT BOOKING,"Saya terima pekerjaan ini."
ACCEPT BOOKING,"Lanjutkan dengan pemesanan ini."
ACCEPT BOOKING,"Ya, saya terima pemesanan tersebut."
ACCEPT BOOKING,"Ambil pesanan ini."
ACCEPT BOOKING,"Konfirmasikan pemesanan ini untuk saya."
ACCEPT BOOKING,"Saya bersedia menerima pekerjaan ini."
ACCEPT BOOKING,"Terima dan lanjutkan pesanan ini."
ACCEPT BOOKING,"Proceed with the booking."
ACCEPT BOOKING,"I agree to the booking."
ACCEPT BOOKING,"Yes, I'll take the booking."
ACCEPT BOOKING,"I'm confirming the booking."
ACCEPT BOOKING,"I'm confirming the booking."
ACCEPT BOOKING,"Confirm the reservation."
ACCEPT BOOKING,"Confirm my reservation, please."
ACCEPT BOOKING,"Okay, book it for me."
ACCEPT BOOKING,"I'll take that booking."
ACCEPT BOOKING,"Yes, book it."
ACCEPT BOOKING,"Accept this job."
ACCEPT BOOKING,"Yes, I’ll take it."
ACCEPT BOOKING,"Confirm the booking."
ACCEPT BOOKING,"Book this customer."
ACCEPT BOOKING,"I'm okay with this ride."
ACCEPT BOOKING,"Lock in this trip."
ACCEPT BOOKING,"Sure, let’s go."
ACCEPT BOOKING,"I'll take this one."
ACCEPT BOOKING,"Let's pick this rider up."
ACCEPT BOOKING,"Proceed with the booking."
ACCEPT BOOKING,"Terima tempahan ini."
ACCEPT BOOKING,"Saya terima pekerjaan ini."
ACCEPT BOOKING,"Sahkan tempahan ini."
ACCEPT BOOKING,"Ya, saya setuju dengan tempahan ini."
ACCEPT BOOKING,"Terima saja tempahan ini."
ACCEPT BOOKING,"OK, saya terima."
ACCEPT BOOKING,"Teruskan dengan tempahan ini."
ACCEPT BOOKING,"Saya terima tawaran ini."
ACCEPT BOOKING,"Boleh, saya terima tempahan ini."
ACCEPT BOOKING,"Terima dan sahkan tempahan."
ACCEPT BOOKING,"好的，接单。"
ACCEPT BOOKING,"好的，我要接这单。"
ACCEPT BOOKING,"确认预订。"
ACCEPT BOOKING,"好的，就订了吧。"
ACCEPT BOOKING,"好的，我接了。"
ACCEPT BOOKING,"好的，接受预订。"
ACCEPT BOOKING,"好的，马上确认。"
ACCEPT BOOKING,"好的，帮我预订。"
ACCEPT BOOKING,"好的，这单我要了。"
ACCEPT BOOKING,"好的，就订这个。"
STOP REQUEST,"Tolak tempahan tu, tak sempat."
STOP REQUEST,"Takleh ambik, jauh sangat."
STOP REQUEST,"Batalkan permintaan ini."
STOP REQUEST,"Hentikan permintaan tersebut."
STOP REQUEST,"Saya tidak dapat menerima permintaan ini."
STOP REQUEST,"Tolak pekerjaan ini."
STOP REQUEST,"Batalkan pemesanan ini."
STOP REQUEST,"Saya tidak tersedia untuk ini."
STOP REQUEST,"Batalkan dan abaikan permintaan ini."
STOP REQUEST,"Mohon batalkan permintaan ini."
STOP REQUEST,"Can we stop for a break?"
STOP REQUEST,"Stop the car, please."
STOP REQUEST,"Where is the nearest rest stop?"
STOP REQUEST,"I need to pull over."
STOP REQUEST,"Stop the car, please."
STOP REQUEST,"I need to stop for a moment."
STOP REQUEST,"Let's find a place to stop."
STOP REQUEST,"Find a place to stop."
STOP REQUEST,"Where can I take a break?"
STOP REQUEST,"I need to stop briefly."
STOP REQUEST,"I want to stop here."
STOP REQUEST,"Can we end the trip now?"
STOP REQUEST,"Please pull over."
STOP REQUEST,"This is my stop."
STOP REQUEST,"Drop me here."
STOP REQUEST,"Stop the car, please."
STOP REQUEST,"Pause for a bit."
STOP REQUEST,"End this journey."
STOP REQUEST,"Let’s stop for a while."
STOP REQUEST,"Break time, stop now."
STOP REQUEST,"Tolak tempahan itu, saya tidak sempat."
STOP REQUEST,"Tidak bisa ambil, terlalu jauh."
STOP REQUEST,"Batalkan permintaan ini."
STOP REQUEST,"Hentikan permintaan ini."
STOP REQUEST,"Maaf, saya tidak dapat menerima ini."
STOP REQUEST,"Tolak pekerjaan ini."
STOP REQUEST,"Batalkan pesanan ini."
STOP REQUEST,"Saya tidak tersedia saat ini."
STOP REQUEST,"Batalkan dan abaikan permintaan ini."
STOP REQUEST,"Mohon batalkan permintaan ini."
STOP REQUEST,"我想要在这里停一下。"
STOP REQUEST,"我们现在可以结束行程吗？"
STOP REQUEST,"请靠边停车。"
STOP REQUEST,"这是我的 остановка。"
STOP REQUEST,"请在这里让我下车。"
STOP REQUEST,"请停车。"
STOP REQUEST,"暂停一下。"
STOP REQUEST,"结束这段行程。"
STOP REQUEST,"我们停一下吧。"
STOP REQUEST,"现在休息一下。"
TRAFFIC CHECK,"Macam mana trafik di Jalan Bayam?"
TRAFFIC CHECK,"Jalan ke Wakaf Bharu sesak dok?"
TRAFFIC CHECK,"Kenapa trafik jem sangat pagi ni?"
TRAFFIC CHECK,"Bagaimana kondisi lalu lintas di [Lokasi]?"
TRAFFIC CHECK,"Apakah ada kemacetan di jalan [Nama Jalan]?"
TRAFFIC CHECK,"Update kondisi lalu lintas terkini."
TRAFFIC CHECK,"Apakah ada laporan kecelakaan lalu lintas di sekitar sini?"
TRAFFIC CHECK,"Seberapa parah kemacetan lalu lintas hari ini?"
TRAFFIC CHECK,"Waktu tempuh perkiraan dengan kondisi lalu lintas saat ini?"
TRAFFIC CHECK,"Adakah jalan alternatif untuk menghindari kemacetan?"
TRAFFIC CHECK,"Check the traffic on Main Street."
TRAFFIC CHECK,"What's the traffic situation?"
TRAFFIC CHECK,"What's the traffic like on the highway?"
TRAFFIC CHECK,"What are the road conditions?"
TRAFFIC CHECK,"Is the road clear?"
TRAFFIC CHECK,"Is there any traffic congestion?"
TRAFFIC CHECK,"How is traffic flow?"
TRAFFIC CHECK,"How's the traffic now?"
TRAFFIC CHECK,"Check traffic ahead."
TRAFFIC CHECK,"Is it jammed up?"
TRAFFIC CHECK,"What's traffic like on this route?"
TRAFFIC CHECK,"Any roadblocks coming?"
TRAFFIC CHECK,"Let me know if there's congestion."
TRAFFIC CHECK,"Is the way clear?"
TRAFFIC CHECK,"Can you scan for traffic updates?"
TRAFFIC CHECK,"Any delays expected?"
TRAFFIC CHECK,"Is the road smooth ahead?"
TRAFFIC CHECK,"What's the traffic situation?"
TRAFFIC CHECK,"Bagaimana keadaan lalu lintas di Jalan Bayam?"
TRAFFIC CHECK,"Apakah jalan ke Wakaf Bharu macet?"
TRAFFIC CHECK,"Kenapa macet parah pagi ini?"
TRAFFIC CHECK,"Bagaimana kondisi lalu lintas di [Lokasi]?"
TRAFFIC CHECK,"Apakah ada kemacetan di jalan [Nama Jalan]?"
TRAFFIC CHECK,"Berikan update lalu lintas terkini."
TRAFFIC CHECK,"Apakah ada laporan kecelakaan di sekitar sini?"
TRAFFIC CHECK,"Seberapa parah kemacetan hari ini?"
TRAFFIC CHECK,"Berapa lama perkiraan waktu tempuh dengan kondisi lalu lintas ini?"
TRAFFIC CHECK,"Adakah jalan alternatif untuk menghindari macet?"
TRAFFIC CHECK,"现在路况怎么样？"
TRAFFIC CHECK,"查一下前面的路况。"
TRAFFIC CHECK,"堵车了吗？"
TRAFFIC CHECK,"这条路上的交通怎么样？"
TRAFFIC CHECK,"前面有路障吗？"
TRAFFIC CHECK,"请告诉我有没有堵车。"
TRAFFIC CHECK,"现在路况通畅吗？"
TRAFFIC CHECK,"你能查一下最新的路况信息吗？"
TRAFFIC CHECK,"预计会延误吗？"
TRAFFIC CHECK,"前面的路好走吗？"
REJECT BOOKING,"Tolak tempahan tu, tak sempat."
REJECT BOOKING,"Takleh ambik, jauh sangat."
REJECT BOOKING,"Tolak pesanan ini."
REJECT BOOKING,"Saya tidak dapat menerima pekerjaan ini."
REJECT BOOKING,"Batalkan pemesanan ini."
REJECT BOOKING,"Saya tidak tersedia untuk pekerjaan ini."
REJECT BOOKING,"Abaikan pemesanan ini."
REJECT BOOKING,"Saya tidak dapat melanjutkan ini."
REJECT BOOKING,"Tolak dan batalkan pekerjaan ini."
REJECT BOOKING,"Jangan terima pekerjaan ini."
REJECT BOOKING,"Sorry, I can't make it."
REJECT BOOKING,"I'm rejecting the booking."
REJECT BOOKING,"I'm rejecting the booking."
REJECT BOOKING,"I have to cancel the booking."
REJECT BOOKING,"I have to cancel the booking."
REJECT BOOKING,"I cannot proceed with this booking."
REJECT BOOKING,"I have to decline."
REJECT BOOKING,"I'm unable to accept this booking."
REJECT BOOKING,"I'm going to have to reject that."
REJECT BOOKING,"No, I can't accept."
REJECT BOOKING,"Decline this ride."
REJECT BOOKING,"I don't want to take this trip."
REJECT BOOKING,"Reject the booking."
REJECT BOOKING,"Not now, cancel it."
REJECT BOOKING,"I'm not going for this job."
REJECT BOOKING,"I’m skipping this customer."
REJECT BOOKING,"No thanks, pass."
REJECT BOOKING,"I'm unavailable."
REJECT BOOKING,"Turn this one down."
REJECT BOOKING,"Don’t accept this request."
REJECT BOOKING,"Tolak tempahan itu, saya tidak sempat."
REJECT BOOKING,"Tidak bisa ambil, terlalu jauh."
REJECT BOOKING,"Tolak pesanan ini."
REJECT BOOKING,"Maaf, saya tidak dapat menerima pekerjaan ini."
REJECT BOOKING,"Batalkan pesanan ini."
REJECT BOOKING,"Saya tidak tersedia saat ini."
REJECT BOOKING,"Abaikan pesanan ini."
REJECT BOOKING,"Saya tidak dapat meneruskan ini."
REJECT BOOKING,"Tolak dan batalkan pekerjaan ini."
REJECT BOOKING,"Jangan terima pesanan ini."
REJECT BOOKING,"抱歉，我来不了。"
REJECT BOOKING,"我拒绝预订。"
REJECT BOOKING,"我必须取消预订。"
REJECT BOOKING,"我不能接受这次预订。"
REJECT BOOKING,"我必须拒绝。"
REJECT BOOKING,"我无法接受这次预订。"
REJECT BOOKING,"我要拒绝。"
REJECT BOOKING,"不，我不能接受。"
REJECT BOOKING,"拒绝行程。"
REJECT BOOKING,"我不想接这单。"
REJECT BOOKING,"拒绝预订。"
REJECT BOOKING,"现在不行，取消吧。"
REJECT BOOKING,"我不去。"
REJECT BOOKING,"我跳过这个客户。"
REJECT BOOKING,"不了，下一个。"
REJECT BOOKING,"我没空。"
REJECT BOOKING,"拒绝。"
REJECT BOOKING,"不要接这单。"
UNKNOWN,"Cuaca hari ni panas ke?"
UNKNOWN,"Berhenti jap, nak beli air."
UNKNOWN,"Apa ramalan cuaca untuk petang ni?"
UNKNOWN,"Saya nak makan nasi kerabu."
UNKNOWN,"Bila cuti sekolah bermula?"
UNKNOWN,"Telefon saya hilang dekat pasar."
UNKNOWN,"Boleh belikan gula-gula untuk anak saya?"
UNKNOWN,"Ada pasar malam malam ni?"
UNKNOWN,"Nak cari mekanik kereta sekarang."
UNKNOWN,"Telefon bimbit saya kehabisan bateri."
UNKNOWN," this is gibberish"
UNKNOWN,"I don't know"
UNKNOWN,"blah blah blah"
UNKNOWN,"I don't know"
UNKNOWN,"random sounds"
UNKNOWN,"yada yada"
UNKNOWN,"unintelligible speech"
UNKNOWN,"cannot understand"
UNKNOWN,"asdf asdf"
UNKNOWN,"What’s the temperature now?"
UNKNOWN,"Play some music."
UNKNOWN,"What time is my next meeting?"
UNKNOWN,"Tell me a joke."
UNKNOWN,"Turn on Bluetooth."
UNKNOWN,"Where is the nearest petrol station?"
UNKNOWN,"Text my wife."
UNKNOWN,"Open YouTube."
UNKNOWN,"How old is Elon Musk?"
UNKNOWN,"Translate hello to Malay."
UNKNOWN,"Cuaca hari ini panas atau tidak?"
UNKNOWN,"Boleh berhenti sebentar untuk beli minum?"
UNKNOWN,"Bagaimana ramalan cuaca untuk petang ini?"
UNKNOWN,"Saya ingin makan nasi kerabu."
UNKNOWN,"Kapan libur sekolah dimulai?"
UNKNOWN,"Telefon saya hilang di pasar."
UNKNOWN,"Bolehkah belikan permen untuk anak saya?"
UNKNOWN,"Apakah ada pasar malam hari ini?"
UNKNOWN,"Saya perlu mencari mekanik kereta sekarang."
UNKNOWN,"Baterai telefon bimbit saya habis."
UNKNOWN,"这个我不能接，太远了。"
UNKNOWN,"我怎样走去Wakaf Che Yeh?"
UNKNOWN,"我今天赚多少钱？"
UNKNOWN,"你可以在红绿灯那里停吗？"
UNKNOWN,"这个order我接了。"
UNKNOWN,"现在Pasir Pekan那里堵车吗？"
UNKNOWN,"现在哥打峇鲁有没有下雨？"
UNKNOWN,"你吃饭了吗？"
UNKNOWN,"我想去购物中心买衣服。"
UNKNOWN,"你知道哪里有好吃的拉面吗？"
UNKNOWN,"我的手机不见了，你看到吗？"
UNKNOWN,"我要去接小孩放学。"
UNKNOWN,"你有没有看到我掉的钥匙？"
UNKNOWN,"我想换个新手机。"
UNKNOWN,"你知道这附近哪里有便利店吗？"
UNKNOWN,"我在等我的朋友，他迟到了。"
UNKNOWN,"你知道哪里可以买雨伞吗？"
UNKNOWN,"我需要去医院看医生。"
UNKNOWN,"附近有没有洗手间？"
UNKNOWN,"我手机没电了，怎么办？"
UNKNOWN,"可以帮我看一下地图吗？"
UNKNOWN,"你有没有零钱换给我？"
UNKNOWN,"我不记得我把车停哪里了。"
UNKNOWN,"这里可以停车吗？"
UNKNOWN,"我想买点水果。"
WEATHER CHECK,"What's the weather forecast?"
WEATHER CHECK,"Check the weather for me."
WEATHER CHECK,"Will it be cloudy?"
WEATHER CHECK,"How's the weather today?"
WEATHER CHECK,"What's the weather like?"
WEATHER CHECK,"Is it going to rain?"
WEATHER CHECK,"Is it sunny outside?"
WEATHER CHECK,"What's the weather conditions?"
WEATHER CHECK,"What is the forecast?"
WEATHER CHECK,"What's the temperature?"
WEATHER CHECK,"Bagaimana ramalan cuaca?"
WEATHER CHECK,"Tolong periksa cuaca untuk saya."
WEATHER CHECK,"Apakah hari ini akan berawan?"
WEATHER CHECK,"Bagaimana cuaca hari ini?"
WEATHER CHECK,"Seperti apa cuacanya?"
WEATHER CHECK,"Apakah akan hujan?"
WEATHER CHECK,"Apakah di luar cerah?"
WEATHER CHECK,"Bagaimana kondisi cuaca?"
WEATHER CHECK,"Apa ramalannya?"
WEATHER CHECK,"Berapa suhunya?"
WEATHER CHECK,"今天天气怎么样？"
WEATHER CHECK,"帮我查一下天气。"
WEATHER CHECK,"会多云吗？"
WEATHER CHECK,"今天天气如何？"
WEATHER CHECK,"天气怎么样？"
WEATHER CHECK,"会下雨吗？"
WEATHER CHECK,"外面是晴天吗？"
WEATHER CHECK,"今天天气情况如何？"
WEATHER CHECK,"天气预报是什么？"
WEATHER CHECK,"温度是多少？"
